year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2018,12,0.0,0.0,0.0,10913934974.0,3379686909.0,7534248065.0
2019,01,0.0,0.0,0.0,11687843385.0,3616017826.0,8071825559.0
2019,02,0.0,0.0,0.0,10384375177.0,3244921935.0,7139453242.0
2019,03,0.0,0.0,0.0,11151093068.0,3439386600.0,7711706468.0
2019,04,0.0,0.0,0.0,10794031551.0,3330234244.0,7463797307.0
2019,05,0.0,0.0,0.0,11008624638.0,3364959217.0,7643665421.0
2019,06,0.0,0.0,0.0,10126360665.0,2986618238.0,7139742427.0
2019,07,0.0,0.0,0.0,10697540909.0,3140657554.0,7556883355.0
2019,08,0.0,0.0,0.0,10350451967.0,2979881198.0,7370570769.0
2019,09,0.0,0.0,0.0,10426764585.0,3061362632.0,7365401953.0
2019,10,0.0,0.0,0.0,11546006605.0,3588403486.0,7957603119.0
2019,11,0.0,0.0,0.0,10838152626.0,3252465442.0,7585687184.0
2019,12,0.0,0.0,0.0,10599454916.0,3097051994.0,7502402922.0
2020,01,0.0,0.0,0.0,11553134104.0,3440480235.0,8112653869.0
2020,02,0.0,0.0,0.0,10628245389.0,3176520359.0,7451725030.0
2020,03,0.0,0.0,0.0,11362277303.0,3412498274.0,7949779029.0
2020,04,0.0,0.0,0.0,12929567519.0,3798372613.0,9131194906.0
2020,05,0.0,0.0,0.0,11245242584.0,3078093615.0,8167148969.0
2020,06,0.0,0.0,0.0,9994699277.0,2721328557.0,7273370720.0
2020,07,0.0,0.0,0.0,9953038843.0,2638936132.0,7314102711.0
2020,08,0.0,0.0,0.0,9873991658.0,2613058239.0,7260933419.0
2020,09,0.0,0.0,0.0,9668615664.0,2661783500.0,7006832164.0
2020,10,0.0,0.0,0.0,10658654994.0,3041724497.0,7616930497.0
2020,11,0.0,0.0,0.0,10899199855.0,3095290471.0,7803909384.0
2020,12,0.0,0.0,0.0,10370975395.0,2868491144.0,7502484251.0
2021,01,0.0,0.0,0.0,11019031362.0,2997179790.0,8021851572.0
2021,02,0.0,0.0,0.0,9903536684.0,2761616525.0,7141920159.0
2021,03,0.0,0.0,0.0,11052105889.0,3141441360.0,7910664529.0
2021,04,0.0,0.0,0.0,10362263570.0,2882714492.0,7479549078.0
2021,05,0.0,0.0,0.0,10458926833.0,2824416177.0,7634510656.0
2021,06,0.0,0.0,0.0,9445748525.0,2505971366.0,6939777159.0
2021,07,0.0,0.0,0.0,10148617002.0,2765584368.0,7383032634.0
2021,08,0.0,0.0,0.0,10097640675.0,2763413934.0,7334226741.0
